,Transaction Type,Action,State Cd,County Cd,Site ID,Parameter Cd,POC,Dur Cd,Unit Cd,Meth Cd,Date,Time,Value,Null Data Cd,Col Freq,Mon Protocol ID,Qual Cd 1,Qual Cd 2,Qual Cd 3,Qual Cd 4,Qual Cd 5,Qual Cd 6,Qual Cd 7,Qual Cd 8,Qual Cd 9,Qual Cd 10,Alternate MDL,Uncertainty Value
0,RD,I,48,29,677,43202,1,7,8,174,20190103,00:00,22.73,,6.0,,V,,,,,,,,,,,
1,RD,I,48,29,677,43202,1,7,8,174,20190109,00:00,5.43,,6.0,,V,,,,,,,,,,,
2,RD,I,48,29,677,43202,1,7,8,174,20190121,00:00,28.57,,6.0,,V,,,,,,,,,,,
3,RD,I,48,29,677,43202,1,7,8,174,20190127,00:00,16.13,,6.0,,V,,,,,,,,,,,
4,RD,I,48,29,677,43202,1,7,8,174,20190202,00:00,15.25,,6.0,,V,,,,,,,,,,,
5,RD,I,48,29,677,43202,1,7,8,174,20190208,00:00,6.35,,6.0,,V,,,,,,,,,,,
6,RD,I,48,29,677,43202,1,7,8,174,20190214,00:00,13.32,,6.0,,V,,,,,,,,,,,
7,RD,I,48,29,677,43202,1,7,8,174,20190220,00:00,9.12,,6.0,,V,,,,,,,,,,,
8,RD,I,48,29,677,43202,1,7,8,174,20190226,00:00,9.68,,6.0,,V,,,,,,,,,,,
9,RD,I,48,29,677,43202,1,7,8,174,20190304,00:00,7.21,,6.0,,V,,,,,,,,,,,
10,RD,I,48,29,677,43202,1,7,8,174,20190310,00:00,11.86,,6.0,,V,,,,,,,,,,,
11,RD,I,48,29,677,43202,1,7,8,174,20190316,00:00,5.18,,6.0,,V,,,,,,,,,,,
12,RD,I,48,29,677,43202,1,7,8,174,20190322,00:00,10.35,,6.0,,V,,,,,,,,,,,
13,RD,I,48,29,677,43202,1,7,8,174,20190328,00:00,8.03,,6.0,,V,,,,,,,,,,,
14,RD,I,48,29,677,43202,1,7,8,174,20190403,00:00,10.9,,6.0,,V,,,,,,,,,,,
15,RD,I,48,29,677,43202,1,7,8,174,20190409,00:00,10.38,,6.0,,V,,,,,,,,,,,
16,RD,I,48,29,677,43202,1,7,8,174,20190415,00:00,10.22,,6.0,,V,,,,,,,,,,,
17,RD,I,48,29,677,43202,1,7,8,174,20190421,00:00,6.9,,6.0,,V,,,,,,,,,,,
18,RD,I,48,29,677,43202,1,7,8,174,20190427,00:00,10.5,,6.0,,V,,,,,,,,,,,
19,RD,I,48,29,677,43202,1,7,8,174,20190503,00:00,3.33,,6.0,,V,,,,,,,,,,,
20,RD,I,48,29,677,43202,1,7,8,174,20190509,00:00,6.44,,6.0,,V,,,,,,,,,,,
21,RD,I,48,29,677,43202,1,7,8,174,20190521,00:00,3.5,,6.0,,V,,,,,,,,,,,
22,RD,I,48,29,677,43202,1,7,8,174,20190527,00:00,3.55,,6.0,,V,,,,,,,,,,,
23,RD,I,48,29,677,43202,1,7,8,174,20190602,00:00,4.93,,6.0,,V,,,,,,,,,,,
24,RD,I,48,29,677,43202,1,7,8,174,20190620,00:00,3.97,,6.0,,V,,,,,,,,,,,
