Transaction Type,Action,State Cd,County Cd,Site ID,Parameter Cd,POC,Dur Cd,Unit Cd,Meth Cd,Date,Time,Value,Null Data Cd,Col Freq,Mon Protocol ID,Qual Cd 1,Qual Cd 2,Qual Cd 3,Qual Cd 4,Qual Cd 5,Qual Cd 6,Qual Cd 7,Qual Cd 8,Qual Cd 9,Qual Cd 10,Alternate MDL,Uncertainty Value
RD,I,48,029,0677,43202,01,7,008,174,20190103,00:00,22.73,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190109,00:00,5.43,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190121,00:00,28.57,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190127,00:00,16.13,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190202,00:00,15.25,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190208,00:00,6.35,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190214,00:00,13.32,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190220,00:00,9.12,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190226,00:00,9.68,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190304,00:00,7.21,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190310,00:00,11.86,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190316,00:00,5.18,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190322,00:00,10.35,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190328,00:00,8.03,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190403,00:00,10.9,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190409,00:00,10.38,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190415,00:00,10.22,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190421,00:00,6.9,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190427,00:00,10.5,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190503,00:00,3.33,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190509,00:00,6.44,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190521,00:00,3.5,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190527,00:00,3.55,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190602,00:00,4.93,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190620,00:00,3.97,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190626,00:00,5.51,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190702,00:00,5.2,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190708,00:00,3.78,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190714,00:00,2.79,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190720,00:00,2.19,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190726,00:00,8.28,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190801,00:00,5.3,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190807,00:00,4.06,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190813,00:00,3.32,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190819,00:00,2.9,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190825,00:00,6.31,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190831,00:00,4.8,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190906,00:00,6.31,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190912,00:00,6.31,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190924,00:00,4.46,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,43202,01,7,008,174,20190930,00:00,4.97,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190103,00:00,0.41,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190109,00:00,0.17,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190121,00:00,0.33,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190127,00:00,0.44,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190202,00:00,0.28,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190208,00:00,0.17,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190214,00:00,0.43,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190220,00:00,0.31,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190226,00:00,0.21,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190304,00:00,0.14,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190310,00:00,0.22,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190316,00:00,0.19,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190322,00:00,0.24,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190328,00:00,0.14,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190403,00:00,0.18,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190409,00:00,0.31,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190415,00:00,0.0,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190421,00:00,0.14,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190427,00:00,0.2,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190503,00:00,0.17,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190509,00:00,0.21,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190521,00:00,0.13,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190527,00:00,0.09,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190602,00:00,0.1,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190620,00:00,0.13,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190626,00:00,0.0,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190702,00:00,0.0,,6,,,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190708,00:00,0.09,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190714,00:00,0.11,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190720,00:00,0.07,,6,,V,,,,,,,,,,,
RD,I,48,029,0677,45201,01,7,008,175,20190726,00:00,0.25,,6,,V,,,,,,,,,,,
